상권업종중분류명,상권업종소분류명,상호명,상가업소번호,지점명,상권업종대분류명,표준산업분류명,시도명,행정동명,경도,위도
도서관/독서실,고시원,853,853,47,853,853,853,853,853,853
도서관/독서실,독서실,914,914,56,914,914,914,914,914,914
도서관/독서실,이동도서관운영,18,18,1,18,18,18,18,18,18
유아교육,놀이방,116,116,1,116,116,116,116,116,116
유아교육,동화구연,2,2,0,2,2,2,2,2,2
유아교육,블럭놀이방,17,17,1,17,17,17,17,17,17
유아교육,실내놀이터-유아,71,71,11,71,71,71,71,71,71
유아교육,어린이집,3700,3700,7,3700,3700,3700,3700,3700,3700
유아교육,유아교육기관기타,90,90,7,90,90,90,90,90,90
학문교육기타,시험정보안내,5,5,0,5,5,5,5,5,5
학문교육기타,운동/코치학교,53,53,4,53,53,53,53,53,53
학문교육기타,학습지보급,424,424,77,424,424,424,424,424,424
학원-보습교습입시,학원-검정고시,7,7,3,7,7,7,7,7,7
학원-보습교습입시,학원-입시,6706,6706,656,6706,6706,6706,6706,6706,6706
학원-보습교습입시,학원-편입,24,24,10,24,24,24,24,24,24
학원-어학,학원-어린이영어,306,306,81,306,306,306,306,306,306
학원-어학,학원-외국어/어학,3269,3269,430,3269,3269,3269,3268,3269,3269
학원-예능취미체육,검도도장,97,97,1,97,97,97,97,97,97
학원-예능취미체육,레크레이션지도/상담,3,3,0,3,3,3,3,3,3
학원-예능취미체육,유도장,46,46,2,46,46,46,46,46,46
학원-예능취미체육,태권도장,640,640,5,640,640,640,640,640,640
학원-예능취미체육,학원-가요,35,35,3,35,35,35,35,35,35
학원-예능취미체육,학원-기억법,4,4,0,4,4,4,4,4,4
학원-예능취미체육,학원-꽃꽃이,25,25,5,25,25,25,25,25,25
학원-예능취미체육,학원-레크리에이션,1,1,0,1,1,1,1,1,1
학원-예능취미체육,학원-마술,6,6,0,6,6,6,6,6,6
학원-예능취미체육,학원-바둑,34,34,2,34,34,34,34,34,34
학원-예능취미체육,학원-배우/탤런트,84,84,18,84,84,84,84,84,84
학원-예능취미체육,학원-사교춤,46,46,11,46,46,46,46,46,46
학원-예능취미체육,학원-사진,2,2,1,2,2,2,2,2,2
학원-예능취미체육,학원-서당,18,18,2,18,18,18,18,18,18
학원-예능취미체육,학원-스포츠/재즈댄스,244,244,23,244,244,244,244,244,244
학원-예능취미체육,학원-아트플라워,1,1,0,1,1,1,1,1,1
학원-예능취미체육,학원-에어로빅,23,23,2,23,23,23,23,23,23
학원-예능취미체육,학원-요리,67,67,18,67,67,67,67,67,67
학원-예능취미체육,학원-웅변,30,30,7,30,30,30,30,30,30
학원-예능취미체육,학원-자수/동양자수,3,3,0,3,3,3,3,3,3
학원-예능취미체육,학원-주산암산부기속셈,113,113,25,113,113,113,113,113,113
학원-예능취미체육,학원-지점토,1,1,0,1,1,1,1,1,1
학원-예능취미체육,학원-펜글씨/한문,24,24,1,24,24,24,24,24,24
학원-예능취미체육,합기도장,104,104,1,104,104,104,104,104,104
학원-음악미술무용,서예/서화/미술,1473,1473,228,1473,1473,1473,1473,1473,1473
학원-음악미술무용,피아노/바이올린/기타,2756,2756,341,2756,2756,2756,2755,2756,2756
학원-음악미술무용,학원-국악,43,43,2,43,43,43,43,43,43
학원-음악미술무용,학원-무용,214,214,37,214,214,214,214,214,214
학원-자격/국가고시,학원-간호조무사,71,71,11,71,71,71,71,71,71
학원-자격/국가고시,학원-건축토목기술,7,7,2,7,7,7,7,7,7
학원-자격/국가고시,학원-경찰,4,4,3,4,4,4,4,4,4
학원-자격/국가고시,학원-공인중개사,17,17,6,17,17,17,17,17,17
학원-자격/국가고시,학원-관광통역,2,2,0,2,2,2,2,2,2
학원-자격/국가고시,학원-국가고시,7,7,1,7,7,7,7,7,7
학원-자격/국가고시,학원-기계/금형기술,3,3,2,3,3,3,3,3,3
학원-자격/국가고시,학원-냉동열관리,1,1,0,1,1,1,1,1,1
학원-자격/국가고시,학원-도배,3,3,1,3,3,3,3,3,3
학원-자격/국가고시,학원-미용,85,85,26,85,85,85,85,85,85
학원-자격/국가고시,학원-보석감정,6,6,3,6,6,6,6,6,6
학원-자격/국가고시,학원-속기,8,8,2,8,8,8,8,8,8
학원-자격/국가고시,학원-이용,4,4,2,4,4,4,4,4,4
학원-자격/국가고시,학원-자동차운전,25,25,5,25,25,25,25,25,25
학원-자격/국가고시,학원-자동차정비,3,3,1,3,3,3,3,3,3
학원-자격/국가고시,학원-전기기술,8,8,5,8,8,8,8,8,8
학원-자격/국가고시,학원-전자통신,3,3,0,3,3,3,3,3,3
학원-자격/국가고시,학원-제과기술,26,26,10,26,26,26,26,26,26
학원-자격/국가고시,학원-중장비,9,9,1,9,9,9,9,9,9
학원-자격/국가고시,학원-항공기술,2,2,0,2,2,2,2,2,2
학원-자격/국가고시,학원-환경기사,4,4,1,4,4,4,4,4,4
학원-자격/국가고시,학원/국가고시,61,61,14,61,61,61,61,61,61
학원-창업취업취미,학원-TV기술,1,1,1,1,1,1,1,1,1
학원-창업취업취미,학원-간판디자인,1,1,0,1,1,1,1,1,1
학원-창업취업취미,학원-경리,12,12,1,12,12,12,12,12,12
학원-창업취업취미,학원-경영,27,27,3,27,27,27,27,27,27
학원-창업취업취미,학원-공예,39,39,3,39,39,39,39,39,39
학원-창업취업취미,학원-광고디자인,3,3,0,3,3,3,3,3,3
학원-창업취업취미,학원-네일아트,6,6,2,6,6,6,6,6,6
학원-창업취업취미,학원-동물사육,1,1,1,1,1,1,1,1,1
학원-창업취업취미,학원-디자인,28,28,4,28,28,28,28,28,28
학원-창업취업취미,학원-만화영화,13,13,3,13,13,13,13,13,13
학원-창업취업취미,학원-목공예,5,5,0,5,5,5,5,5,5
학원-창업취업취미,학원-미싱자수,2,2,0,2,2,2,2,2,2
학원-창업취업취미,학원-복장,9,9,1,9,9,9,9,9,9
학원-창업취업취미,학원-분장,5,5,0,5,5,5,5,5,5
학원-창업취업취미,학원-비디오,1,1,0,1,1,1,1,1,1
학원-창업취업취미,학원-섬유기술,1,1,0,1,1,1,1,1,1
학원-창업취업취미,학원-세탁기술,1,1,0,1,1,1,1,1,1
학원-창업취업취미,학원-속독,23,23,3,23,23,23,23,23,23
학원-창업취업취미,학원-스튜디어스,3,3,0,3,3,3,3,3,3
학원-창업취업취미,학원-애견미용,10,10,2,10,10,10,10,10,10
학원-창업취업취미,학원-양재,3,3,2,3,3,3,3,3,3
학원-창업취업취미,학원-칵테일,4,4,1,4,4,4,4,4,4
학원-창업취업취미,학원-캐드,2,2,0,2,2,2,2,2,2
학원-창업취업취미,학원-텔렉스/통신,2,2,1,2,2,2,2,2,2
학원-창업취업취미,학원-피부미용,25,25,5,25,25,25,25,25,25
학원-창업취업취미,학원-한복기술,2,2,0,2,2,2,2,2,2
학원-컴퓨터,컴퓨터학원,224,224,58,224,224,224,224,224,224
학원기타,비행훈련원,3,3,1,3,3,3,3,3,3
학원기타,예절지도,2,2,0,2,2,2,2,2,2
학원기타,운전연수전문,22,22,5,22,22,22,22,22,22
학원기타,학원(종합),3983,3983,130,3983,3983,3983,3983,3983,3983
학원기타,학원-기타,837,837,235,837,837,837,837,837,837
학원기타,학원-말더듬,7,7,0,7,7,7,7,7,7
학원기타,학원-실내운전,11,11,1,11,11,11,11,11,11
학원기타,학원-심리변론,39,39,4,39,39,39,39,39,39
학원기타,학원-역학,9,9,2,9,9,9,9,9,9
학원기타,학원-침술,2,2,1,2,2,2,2,2,2
